hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,safety_score,high_risk
18,7.94,20.6,9.1,3,1,1,0,100.0,0
1,2.11,125.3,16.6,2,0,0,0,70.3,0
21,7.27,15.0,5.6,2,0,0,0,73.1,0
16,2.45,7.5,48.1,2,0,1,1,96.9,0
10,5.29,55.2,4.6,1,1,0,0,98.5,0
4,0.61,15.8,21.2,2,0,0,0,81.8,0
23,4.12,201.7,52.1,5,0,0,0,59.4,1
7,5.34,50.5,6.8,2,0,1,1,85.9,0
11,4.43,312.1,21.2,0,0,2,0,59.8,1
9,2.13,1.7,5.1,3,1,2,1,100.0,0
5,6.68,84.2,35.4,2,0,1,0,88.4,0
9,7.77,286.2,3.2,2,0,1,0,74.8,0
3,3.84,21.6,16.1,3,1,0,1,61.9,1
0,5.2,77.4,29.6,2,1,0,1,78.6,0
6,6.39,33.0,9.8,4,1,1,0,100.0,0
2,2.16,2.4,25.4,2,0,0,1,71.7,0
9,6.96,61.3,69.7,2,0,0,0,100.0,0
20,2.46,21.8,4.9,1,0,0,1,96.5,0
3,6.27,3.9,30.9,4,0,0,1,75.3,0
0,1.16,26.8,71.4,1,1,1,0,66.1,1
2,2.52,26.1,12.8,2,0,2,0,38.1,1
12,4.41,4.9,2.1,0,1,0,0,95.4,0
6,4.34,21.4,10.3,1,1,1,1,100.0,0
11,6.85,81.3,1.6,0,1,1,0,82.7,0
0,7.97,106.5,33.2,1,0,0,1,59.2,1
7,1.13,90.1,24.1,0,1,0,1,100.0,0
9,2.39,57.0,8.6,3,0,2,0,85.2,0
10,3.05,212.4,3.4,3,0,2,0,62.6,1
13,3.99,21.5,56.6,2,1,1,0,96.2,0
18,4.1,25.4,7.6,1,0,0,0,100.0,0
11,6.89,65.8,34.1,1,0,2,0,65.8,1
20,6.23,39.9,26.1,7,0,1,0,75.5,0
12,0.45,158.5,40.2,4,1,1,0,98.8,0
6,3.8,87.6,16.6,4,1,2,0,100.0,0
5,5.06,85.3,25.8,2,0,1,0,86.3,0
7,3.85,124.7,8.9,1,0,1,1,81.8,0
14,1.31,67.0,21.5,1,0,0,0,82.0,0
5,3.36,40.7,53.6,4,1,3,0,83.3,0
21,3.47,46.9,9.4,2,0,0,0,71.7,0
11,1.75,148.6,2.5,3,0,5,0,80.1,0
20,6.12,0.9,1.6,2,0,1,0,79.4,0
16,2.77,31.2,43.3,1,1,1,0,100.0,0
8,4.84,84.8,68.6,1,1,0,0,90.3,0
5,4.27,57.5,37.2,4,0,0,0,95.2,0
17,7.06,5.2,9.3,3,1,0,1,100.0,0
7,1.24,124.8,9.6,5,1,1,1,100.0,0
5,1.18,34.8,10.1,1,0,1,0,87.6,0
22,2.61,64.4,41.0,2,0,1,0,68.3,0
11,3.62,1.6,29.4,1,1,1,0,100.0,0
1,2.6,84.5,16.3,2,0,1,1,57.1,1
11,6.18,96.5,5.8,3,0,1,1,88.4,0
11,2.19,12.8,5.0,2,0,0,0,100.0,0
20,0.95,22.1,37.3,5,1,2,0,100.0,0
17,3.49,22.7,2.8,1,0,1,0,100.0,0
4,6.26,344.5,7.7,1,0,0,1,41.2,1
3,6.85,18.2,13.1,1,1,0,0,82.5,0
14,5.95,237.6,12.1,1,1,0,0,87.4,0
1,4.6,21.7,37.7,2,0,0,0,61.6,1
7,5.88,32.2,1.1,1,1,0,0,97.6,0
3,5.55,54.5,40.6,4,1,1,1,75.8,0
0,2.1,119.7,7.9,4,0,0,0,57.3,1
22,4.54,107.1,23.2,2,0,0,0,42.4,1
2,6.23,51.1,33.8,4,1,1,0,70.4,0
0,2.74,47.9,2.7,3,0,0,0,69.0,0
22,5.34,3.3,3.0,1,0,1,0,54.3,1
4,4.01,43.8,50.7,2,0,0,0,54.1,1
19,4.17,45.2,17.4,1,0,1,0,65.6,1
0,0.99,121.4,14.4,2,1,0,0,92.7,0
3,5.43,23.4,4.6,1,0,3,1,39.6,1
2,6.97,30.7,3.5,1,0,0,1,54.0,1
16,1.39,90.5,10.4,4,1,2,0,94.9,0
14,3.12,16.7,36.4,0,1,0,0,100.0,0
11,0.67,88.9,27.0,1,0,2,0,94.7,0
5,0.53,6.6,3.7,0,1,2,1,82.8,0
2,7.92,48.1,19.9,1,0,1,0,33.0,1
13,4.1,3.2,1.3,3,1,0,1,100.0,0
5,3.04,190.2,37.3,2,0,2,0,67.2,1
14,2.42,120.4,14.3,1,1,3,0,61.6,1
16,7.85,69.1,3.0,3,0,3,0,65.5,1
20,2.24,40.6,17.7,0,0,0,1,77.9,0
11,5.89,189.5,9.9,2,1,0,0,94.5,0
0,2.48,21.5,16.1,1,0,0,0,65.6,1
6,0.84,37.4,43.5,2,0,2,1,76.0,0
20,5.56,5.9,35.2,5,0,0,0,95.4,0
12,0.31,38.3,34.0,4,1,1,1,100.0,0
14,5.5,71.6,38.5,4,0,1,0,100.0,0
10,2.23,63.2,9.1,4,0,0,0,100.0,0
3,6.05,146.9,79.8,1,1,0,1,42.6,1
21,6.23,194.0,11.1,0,0,0,0,75.4,0
18,5.88,87.7,99.2,1,1,2,0,94.8,0
23,0.49,13.7,8.8,3,0,3,1,14.5,1
20,5.72,55.7,4.7,3,0,1,0,83.4,0
6,7.92,260.3,14.5,2,1,0,1,97.8,0
6,2.17,246.8,0.0,2,0,0,0,99.1,0
5,2.41,80.5,17.2,1,1,0,1,100.0,0
22,6.56,30.5,38.3,1,0,1,1,52.5,1
13,1.54,24.5,1.0,0,0,1,0,74.7,0
10,5.39,13.4,37.4,4,0,0,0,100.0,0
23,6.11,5.6,16.9,4,1,0,0,92.4,0
14,0.59,71.4,9.2,6,0,0,0,100.0,0
21,4.56,82.8,53.4,8,0,1,0,73.9,0
23,4.73,50.7,0.6,5,0,1,0,73.2,0
1,2.64,196.4,19.4,5,1,1,1,68.0,0
8,7.05,145.4,12.7,1,0,2,0,79.5,0
17,1.55,123.5,19.9,5,1,1,0,100.0,0
19,3.1,100.8,41.4,1,0,1,1,67.0,1
3,6.83,76.6,26.2,1,1,1,1,46.5,1
7,1.77,12.7,4.6,2,1,2,0,95.5,0
13,6.62,27.0,4.8,3,1,1,0,100.0,0
19,0.91,83.4,22.0,4,1,0,1,81.1,0
2,4.07,67.4,19.7,2,0,0,0,60.9,1
14,0.88,34.6,4.5,2,0,0,1,100.0,0
7,5.52,2.6,51.5,2,0,0,0,95.3,0
5,6.39,27.4,44.9,0,1,2,0,76.0,0
12,6.84,123.4,0.2,1,1,0,1,93.7,0
9,7.86,42.2,4.5,6,1,1,0,100.0,0
15,5.47,27.0,8.5,0,0,1,0,80.4,0
7,6.22,145.5,12.4,1,0,2,0,63.4,1
19,4.19,108.4,8.1,3,1,2,0,73.4,0
1,7.33,44.8,5.2,2,1,1,0,58.1,1
20,5.26,7.9,3.4,5,0,1,0,100.0,0
0,7.1,61.4,19.8,1,0,0,0,73.5,0
17,2.11,124.5,28.0,2,1,1,0,100.0,0
8,4.12,36.1,17.6,4,1,0,0,100.0,0
9,5.92,14.0,4.0,4,1,1,0,100.0,0
0,1.86,117.3,23.7,1,1,0,0,80.2,0
16,1.93,66.5,0.4,3,0,2,1,83.8,0
3,7.83,89.3,84.5,0,0,3,0,28.2,1
15,3.65,55.7,36.8,1,1,2,0,100.0,0
17,1.7,64.8,5.5,8,0,1,0,100.0,0
20,2.85,6.6,1.4,1,1,1,1,89.7,0
16,3.36,136.2,8.1,4,1,2,0,100.0,0
7,5.1,41.8,19.6,3,1,0,1,100.0,0
17,7.41,25.4,23.8,2,1,0,0,100.0,0
19,7.9,20.8,5.8,3,0,0,0,100.0,0
7,5.32,92.5,17.9,4,1,4,0,71.4,0
2,5.69,35.1,1.7,1,1,0,0,73.4,0
21,2.78,61.3,29.7,4,0,0,1,90.1,0
3,6.9,24.1,15.5,2,1,0,0,72.7,0
14,1.98,37.6,14.7,0,1,2,0,94.6,0
5,1.12,19.4,11.0,3,1,1,1,100.0,0
3,7.79,91.7,34.6,3,1,1,0,82.0,0
18,6.95,145.5,45.3,2,1,0,0,88.3,0
3,2.64,6.9,3.0,3,0,2,0,54.6,1
16,5.5,53.1,8.3,3,1,1,0,100.0,0
16,3.9,46.6,0.3,6,1,3,1,88.7,0
1,2.79,38.6,7.3,1,0,1,0,59.5,1
4,2.51,146.9,5.8,2,1,1,0,54.2,1
19,1.35,109.3,1.5,2,1,0,1,100.0,0
12,4.53,35.7,1.6,1,1,1,0,100.0,0
2,3.74,43.9,25.7,0,1,2,0,48.3,1
23,4.24,7.4,9.5,1,0,0,1,73.2,0
6,1.96,1.7,23.9,6,1,0,0,100.0,0
0,7.53,69.9,10.3,0,1,1,0,53.0,1
22,5.22,18.0,11.4,0,0,0,0,51.5,1
0,7.23,29.5,17.0,2,0,2,0,45.7,1
13,1.14,126.3,1.6,1,0,0,0,100.0,0
23,5.1,28.0,24.2,2,1,0,0,77.8,0
13,6.84,150.8,1.9,4,1,0,1,100.0,0
14,2.85,58.3,2.4,6,1,3,0,97.9,0
9,1.8,68.2,2.2,0,1,1,0,100.0,0
3,2.34,30.5,18.2,3,1,1,0,82.3,0
13,2.4,124.0,5.4,1,0,1,1,93.6,0
21,3.74,1.8,15.6,2,0,1,0,95.7,0
2,2.81,115.1,13.5,1,0,1,1,39.2,1
21,2.39,46.0,10.7,6,1,1,0,95.0,0
9,5.29,68.5,3.4,2,0,1,0,100.0,0
12,0.71,218.9,0.6,1,1,1,1,86.5,0
3,2.92,67.6,10.7,0,0,2,0,40.5,1
14,5.61,62.8,25.6,2,0,2,0,90.2,0
4,1.65,26.8,7.1,3,0,2,0,65.8,1
6,2.0,10.6,8.1,6,1,1,0,100.0,0
17,1.85,22.5,10.7,3,0,3,0,74.3,0
1,0.31,153.5,11.5,3,0,1,0,56.2,1
10,3.95,256.3,5.1,2,0,0,0,97.4,0
14,0.6,38.3,11.4,7,0,1,0,100.0,0
3,2.4,18.0,39.5,2,1,0,1,75.6,0
7,7.96,37.7,3.5,1,0,1,0,91.8,0
8,7.37,180.4,15.6,1,1,2,0,70.8,0
15,1.96,4.2,38.5,2,1,2,0,92.9,0
23,2.69,5.4,67.6,4,0,0,0,68.3,0
20,3.87,37.6,21.1,2,1,1,1,94.0,0
4,6.8,112.9,10.6,3,1,0,0,79.3,0
0,6.48,199.4,1.2,2,1,1,1,48.8,1
1,1.27,93.4,0.1,3,0,2,0,57.3,1
14,1.26,32.8,5.2,3,0,1,0,100.0,0
3,3.51,20.7,9.1,1,0,1,0,64.7,1
5,7.0,58.4,53.4,3,0,2,0,77.4,0
20,7.09,36.1,13.4,2,1,0,0,100.0,0
20,1.13,32.4,16.0,6,1,2,0,90.7,0
20,4.72,171.8,18.4,4,1,0,1,100.0,0
6,1.5,19.3,4.4,1,1,2,0,94.9,0
14,5.58,136.7,1.7,3,0,0,1,82.5,0
14,7.36,56.8,5.9,1,1,0,0,99.9,0
4,3.8,20.0,47.0,2,1,2,0,59.8,1
13,0.94,45.6,2.3,3,0,2,1,80.1,0
12,4.76,37.7,6.3,3,0,1,0,100.0,0
9,3.45,10.4,7.5,4,0,0,0,100.0,0
18,6.54,5.1,21.1,2,1,1,0,100.0,0
16,2.92,30.3,16.5,2,0,2,0,74.0,0
12,7.04,138.9,21.1,2,1,0,0,93.3,0
17,2.41,39.2,20.1,1,1,1,0,100.0,0
18,1.51,0.5,20.0,3,0,1,1,99.1,0
13,2.66,34.3,2.6,4,0,2,0,89.4,0
6,0.57,6.1,77.0,4,0,5,0,56.8,1
18,2.47,49.4,27.0,3,0,1,0,98.0,0
17,5.38,3.1,7.0,3,0,3,0,65.4,1
23,1.4,22.3,29.8,2,1,1,0,67.7,0
3,1.16,159.4,46.4,1,0,0,0,50.7,1
10,1.32,104.5,52.5,1,0,1,0,75.7,0
22,0.9,84.5,40.5,2,1,2,0,56.6,1
12,7.03,171.8,12.9,3,1,3,0,79.3,0
22,7.57,41.4,6.4,1,0,0,1,58.7,1
0,0.66,5.6,6.7,4,1,1,0,78.3,0
0,6.15,61.9,56.9,2,0,1,0,39.7,1
19,5.98,194.2,38.7,0,0,2,0,37.9,1
8,7.98,30.0,12.0,3,0,0,0,90.9,0
12,2.98,86.4,10.0,0,1,1,0,97.3,0
10,2.5,24.3,9.6,2,0,1,0,99.3,0
9,3.79,22.0,19.3,2,0,0,0,100.0,0
22,6.9,117.3,54.8,3,1,0,0,69.4,0
2,5.91,71.2,6.4,0,1,0,0,57.1,1
18,3.93,320.0,26.0,2,0,0,0,93.4,0
21,2.18,28.8,15.9,0,1,0,0,92.5,0
15,5.9,5.8,15.5,2,1,0,0,100.0,0
9,6.88,187.9,52.2,4,1,2,0,91.0,0
3,3.38,70.7,42.7,2,1,1,1,63.3,1
16,5.45,128.4,24.1,3,0,0,0,88.3,0
11,3.38,59.8,9.8,0,1,0,1,99.5,0
3,3.98,131.6,15.3,1,0,1,0,56.2,1
8,4.34,45.8,0.4,3,0,3,0,77.1,0
23,6.27,12.9,23.1,2,0,0,0,60.1,1
6,7.83,43.0,43.3,3,0,1,1,64.1,1
4,3.72,14.3,11.5,2,1,1,0,55.3,1
16,2.94,45.4,33.8,1,1,0,0,77.1,0
4,3.18,4.5,2.3,2,0,1,0,70.4,0
22,1.33,112.0,24.5,1,0,0,0,49.4,1
20,2.59,52.2,4.2,5,0,1,0,77.5,0
23,0.97,58.7,0.9,4,0,0,0,78.1,0
21,3.59,29.2,8.6,2,1,0,0,100.0,0
5,1.59,39.6,13.7,3,0,1,0,91.7,0
5,2.97,186.7,13.1,3,0,2,0,84.8,0
8,6.41,31.7,50.8,0,0,3,0,70.1,0
11,2.19,61.8,11.8,1,0,1,0,100.0,0
21,5.01,73.0,3.6,4,1,2,1,95.2,0
17,7.24,131.8,6.5,3,0,1,0,87.1,0
15,4.67,37.5,16.1,0,1,0,0,95.5,0
21,1.79,49.0,19.0,3,1,1,0,100.0,0
15,2.95,60.2,2.9,1,0,0,0,93.4,0
9,4.85,14.1,16.0,4,1,0,0,100.0,0
9,4.2,129.2,9.2,1,1,1,0,90.9,0
12,1.44,27.9,4.5,2,1,0,0,100.0,0
2,3.74,2.2,21.2,5,1,2,1,66.7,1
17,4.48,16.6,9.7,2,1,0,0,99.2,0
15,2.36,45.3,21.3,3,0,0,1,97.0,0
17,5.02,35.6,55.1,3,1,0,0,100.0,0
12,0.84,62.3,6.8,2,0,0,0,87.4,0
18,2.89,31.9,0.4,5,0,0,0,100.0,0
22,6.49,55.6,47.0,0,1,2,0,44.2,1
13,2.3,116.8,19.9,4,0,1,0,74.9,0
10,4.96,12.2,6.2,1,1,0,0,100.0,0
2,3.46,105.0,3.3,1,0,1,0,59.8,1
18,2.74,34.9,20.9,4,0,1,1,94.5,0
21,7.35,204.6,4.2,3,0,1,0,67.8,0
16,2.94,49.7,10.4,0,0,0,0,91.8,0
20,2.12,8.9,10.7,3,0,0,1,95.8,0
20,7.3,106.8,62.4,4,1,0,1,100.0,0
19,6.04,57.9,9.4,3,0,0,0,98.1,0
12,5.55,97.7,17.7,1,1,0,0,100.0,0
2,0.68,6.5,22.2,5,0,1,0,62.4,1
0,1.31,4.4,32.0,4,0,1,1,76.6,0
4,5.22,8.4,8.8,0,0,2,0,39.3,1
10,1.91,19.1,2.7,1,0,0,0,88.1,0
17,2.04,56.5,7.1,2,1,2,0,88.8,0
10,6.3,20.0,55.9,0,1,1,0,75.2,0
0,2.5,85.4,3.2,4,0,0,0,80.6,0
5,0.85,5.7,30.8,2,0,2,0,80.5,0
23,0.58,7.4,0.5,3,1,0,1,73.6,0
23,3.71,292.3,81.5,3,0,2,0,28.6,1
9,5.05,120.2,15.8,1,0,0,1,80.8,0
19,6.99,24.6,23.6,0,1,1,0,86.8,0
17,1.15,9.1,6.6,2,1,2,1,88.7,0
22,1.81,54.0,64.3,2,0,1,0,50.9,1
21,4.38,6.5,1.5,3,1,0,0,100.0,0
15,3.1,3.5,1.5,8,0,3,0,94.5,0
9,4.02,36.7,64.4,3,1,1,0,97.3,0
15,7.42,67.6,1.0,5,0,2,1,97.1,0
7,4.5,16.1,0.4,1,1,0,1,100.0,0
8,3.5,24.4,7.1,1,0,0,0,89.8,0
14,7.92,223.1,13.3,3,1,1,0,85.6,0
13,0.8,73.1,14.2,3,1,1,0,100.0,0
13,7.48,199.0,56.8,4,0,1,0,90.4,0
9,4.16,77.2,1.0,2,0,0,0,100.0,0
9,4.18,47.7,51.2,1,0,0,0,99.8,0
0,7.4,13.2,16.3,0,1,0,0,54.5,1
14,4.21,1.5,5.7,6,1,1,0,100.0,0
13,3.68,40.5,66.4,3,1,0,0,100.0,0
22,2.4,160.9,45.1,1,1,1,0,56.5,1
12,5.37,12.0,7.3,4,1,1,1,100.0,0
11,4.69,10.6,3.3,4,1,2,0,100.0,0
1,1.95,87.5,13.0,2,0,0,0,71.5,0
4,5.76,6.1,14.2,3,1,0,1,70.8,0
8,5.26,13.5,22.9,0,1,0,0,99.1,0
9,3.36,117.7,1.7,4,0,2,0,79.2,0
8,0.33,12.8,1.9,5,0,5,0,82.1,0
9,3.74,107.3,29.5,1,0,1,0,90.7,0
18,0.35,68.2,74.3,3,1,0,1,100.0,0
3,0.88,173.2,10.5,1,0,0,0,59.3,1
7,3.62,67.9,49.9,4,1,1,0,100.0,0
3,0.93,6.6,0.9,3,0,1,0,63.0,1
7,2.42,230.6,18.8,4,0,1,0,79.0,0
16,5.35,6.8,6.5,2,0,2,0,92.0,0
1,2.68,33.5,40.5,2,0,0,0,60.3,1
8,7.98,77.8,30.6,3,1,0,0,100.0,0
0,7.36,26.5,8.0,4,1,0,0,79.2,0
22,4.81,16.3,8.1,1,1,0,0,70.0,0
17,7.75,65.5,23.6,2,1,0,0,100.0,0
5,6.98,9.1,4.0,5,1,1,1,100.0,0
4,2.76,4.7,9.5,4,0,0,1,74.8,0
2,6.07,31.4,54.8,3,0,2,1,34.4,1
11,1.35,212.2,64.3,2,0,1,0,74.9,0
18,5.57,65.1,23.4,0,0,2,1,72.4,0
14,4.08,12.2,22.7,1,0,2,0,95.8,0
21,0.43,138.7,10.3,2,0,1,0,92.4,0
8,2.41,5.7,22.8,3,1,0,0,100.0,0
6,7.66,185.9,0.4,1,0,1,1,77.2,0
11,2.73,58.3,5.5,2,0,0,1,100.0,0
4,1.7,5.0,83.6,1,0,0,0,72.7,0
23,1.74,81.9,0.5,2,0,1,0,57.5,1
4,3.99,50.4,11.0,0,0,0,0,57.2,1
11,6.79,46.0,18.7,3,0,0,1,82.7,0
12,6.14,48.1,10.6,3,1,1,0,100.0,0
1,3.66,38.9,1.1,1,1,1,0,61.5,1
11,1.91,32.3,16.5,2,1,2,0,95.4,0
10,0.65,159.7,83.4,2,0,0,0,86.5,0
6,3.86,25.5,15.6,2,1,0,0,95.2,0
3,6.57,96.3,24.0,3,0,0,1,52.8,1
1,5.92,131.5,6.8,1,1,1,0,40.3,1
0,3.45,139.9,18.5,1,0,1,0,44.9,1
11,4.88,55.2,92.5,2,0,0,1,100.0,0
2,3.66,49.2,79.9,4,0,2,0,58.4,1
23,4.76,31.5,14.7,4,1,1,0,67.4,0
5,4.28,11.1,19.3,3,0,1,0,98.0,0
15,5.54,80.9,16.3,0,1,0,0,98.7,0
16,4.21,68.7,13.1,1,0,1,0,93.4,0
11,7.54,25.8,3.2,1,0,1,1,69.7,0
21,3.6,3.9,3.3,0,0,0,0,67.5,0
2,0.42,5.9,54.2,3,0,1,0,65.8,1
5,2.12,36.9,24.0,2,1,0,0,100.0,0
6,4.15,40.8,0.4,2,0,0,1,86.9,0
3,4.46,56.0,16.0,1,0,0,1,48.7,1
7,4.55,16.8,7.8,1,0,0,0,100.0,0
7,5.8,109.1,22.3,2,0,0,1,85.7,0
18,2.41,36.4,30.7,0,0,1,0,79.6,0
7,5.42,33.9,25.6,5,1,0,1,100.0,0
21,5.72,56.8,7.8,3,1,1,0,97.1,0
18,3.47,60.3,26.9,4,0,4,1,81.9,0
21,3.4,100.2,74.6,2,0,1,0,98.6,0
2,1.68,4.7,68.3,0,0,1,1,52.0,1
23,3.49,66.6,3.7,1,1,1,0,81.6,0
14,6.36,50.1,34.5,1,0,1,1,84.4,0
23,7.3,149.7,15.3,1,0,2,1,30.1,1
8,4.87,31.3,0.0,2,1,0,0,100.0,0
22,2.61,65.3,19.0,1,0,3,0,23.7,1
14,5.55,133.4,22.3,2,0,1,1,64.5,1
1,6.0,137.1,16.4,1,0,0,0,53.8,1
9,2.86,39.0,43.5,2,1,1,1,91.9,0
3,6.66,5.4,1.1,2,0,0,0,80.3,0
22,0.87,46.7,10.5,2,1,1,0,69.6,0
7,0.38,47.2,7.7,3,0,0,1,100.0,0
5,1.25,145.0,2.7,0,0,2,0,90.0,0
13,1.5,55.0,2.0,3,0,1,1,100.0,0
10,7.07,39.4,1.7,2,0,0,0,99.7,0
2,3.57,111.7,51.8,2,0,2,0,43.3,1
19,2.42,98.4,19.9,1,1,0,0,92.2,0
20,3.6,88.4,4.8,1,0,1,1,80.2,0
17,3.34,1.5,6.8,4,0,0,1,100.0,0
14,2.62,11.9,23.8,4,1,2,1,100.0,0
9,1.36,27.7,97.5,4,1,0,0,100.0,0
13,5.35,26.4,5.2,3,0,1,0,97.2,0
12,1.35,210.3,25.0,4,1,0,0,100.0,0
3,6.27,152.4,3.5,3,1,1,0,71.2,0
1,1.85,23.9,0.2,7,0,1,0,68.9,0
6,5.93,4.5,14.3,3,0,0,0,96.0,0
10,6.5,153.6,4.6,1,1,0,0,100.0,0
3,1.27,6.1,30.6,4,0,2,0,66.6,1
2,0.97,20.9,0.9,1,1,1,0,73.0,0
20,7.61,32.5,19.1,4,1,2,1,69.6,0
8,3.87,5.9,48.0,5,1,0,1,100.0,0
14,5.15,44.7,2.8,3,1,0,0,100.0,0
12,0.48,78.0,7.7,4,1,0,0,100.0,0
17,2.45,42.6,21.6,4,1,1,1,96.1,0
17,4.19,52.1,9.1,3,0,1,1,90.2,0
7,7.12,97.2,46.7,2,1,0,0,100.0,0
20,2.39,111.9,2.1,2,1,0,0,88.8,0
8,6.27,0.1,12.1,4,1,0,1,100.0,0
20,5.4,84.4,1.0,0,0,1,0,69.3,0
9,1.19,33.8,24.6,2,1,0,0,100.0,0
2,2.56,148.7,9.0,2,0,0,0,64.3,1
18,2.13,39.5,31.9,2,0,1,0,91.5,0
0,3.71,14.8,14.4,2,1,0,0,70.0,0
18,5.19,42.3,14.2,4,1,0,0,100.0,0
1,3.64,232.3,7.7,1,0,0,0,66.1,1
4,2.18,66.0,6.0,3,0,2,1,48.3,1
14,5.66,126.8,2.0,1,0,0,0,78.0,0
22,4.8,19.1,9.2,3,1,1,0,92.2,0
9,4.3,29.3,5.5,3,1,2,0,90.6,0
2,4.57,51.5,39.2,2,1,0,0,72.9,0
5,2.01,126.0,44.0,1,1,1,0,98.7,0
21,5.54,24.6,35.1,2,0,2,0,71.3,0
17,3.28,38.7,19.4,1,1,0,0,98.8,0
2,3.1,0.5,22.1,2,1,1,0,63.3,1
9,1.45,18.9,17.9,1,1,0,0,100.0,0
6,4.9,196.7,8.9,3,0,1,0,85.8,0
4,4.94,66.6,3.9,5,0,1,0,55.7,1
20,2.92,200.1,33.6,1,1,1,0,70.4,0
14,6.92,105.6,24.8,1,1,2,0,96.7,0
4,6.81,140.6,6.9,2,1,2,1,43.0,1
15,1.14,16.9,9.6,0,1,0,1,100.0,0
9,5.65,345.5,40.7,2,0,2,0,64.0,1
1,3.33,37.0,7.7,0,0,1,0,57.6,1
10,8.0,67.7,12.5,1,0,0,0,88.6,0
4,2.03,110.0,18.0,2,0,1,0,62.7,1
5,2.46,78.3,12.2,1,0,1,0,97.3,0
21,3.7,6.6,10.9,3,0,0,1,86.5,0
17,2.37,48.6,18.0,1,1,1,1,94.7,0
3,5.63,185.0,28.2,3,0,5,1,21.1,1
20,4.0,182.0,20.7,3,0,1,0,80.0,0
13,2.0,72.9,53.7,2,1,2,1,100.0,0
20,4.2,39.1,89.3,2,1,1,1,71.9,0
17,7.14,52.8,0.7,2,0,1,1,72.8,0
8,6.4,20.0,23.6,5,0,0,0,100.0,0
12,4.14,15.5,6.6,1,1,1,0,94.5,0
12,2.52,104.7,14.9,5,1,3,1,94.4,0
17,1.69,17.9,3.1,4,0,1,1,83.6,0
5,7.06,59.2,10.6,1,0,1,0,88.5,0
7,5.77,216.7,7.7,5,0,1,0,95.2,0
5,4.71,65.1,20.3,2,0,1,0,100.0,0
7,7.07,73.4,32.4,1,0,1,1,64.2,1
3,1.24,61.3,0.8,2,1,1,1,72.8,0
0,5.56,169.8,0.5,2,1,0,0,58.8,1
22,1.97,63.2,36.1,3,1,0,1,83.1,0
1,1.23,12.8,9.3,0,0,1,0,54.9,1
21,3.89,50.1,17.9,2,0,1,0,83.9,0
0,3.28,19.0,5.8,2,0,0,0,77.2,0
18,7.55,49.0,16.3,3,0,0,0,100.0,0
7,2.79,14.6,7.8,1,0,0,0,100.0,0
12,6.57,60.8,8.6,2,1,1,0,100.0,0
6,6.07,27.0,6.5,1,1,0,1,100.0,0
11,5.44,81.7,24.8,3,0,1,1,85.6,0
10,7.39,42.5,2.3,1,0,1,0,100.0,0
12,3.44,15.7,38.5,1,0,1,0,90.1,0
9,3.3,32.8,8.9,2,1,2,0,100.0,0
12,1.54,63.6,6.0,3,0,0,0,99.0,0
19,2.42,19.3,25.3,4,0,0,0,85.1,0
10,7.07,6.3,80.2,1,1,0,1,90.7,0
8,3.95,116.1,0.4,3,0,0,0,100.0,0
3,2.93,20.4,37.7,2,0,0,1,70.2,0
8,1.96,53.7,36.0,4,0,0,0,100.0,0
3,4.03,28.7,18.7,4,0,0,0,74.9,0
4,5.82,18.1,41.6,3,0,0,0,62.5,1
22,2.51,126.4,20.7,0,0,0,1,49.6,1
2,6.13,272.4,58.3,1,0,0,0,65.2,1
11,5.15,16.1,6.2,1,0,1,0,81.7,0
20,6.36,72.1,31.4,1,1,0,1,80.4,0
22,2.23,42.6,22.0,1,0,1,0,61.8,1
3,5.16,152.7,93.2,1,0,0,0,58.6,1
3,1.48,54.0,3.2,1,0,1,0,56.2,1
8,3.1,9.5,11.1,0,0,1,0,84.3,0
13,5.88,150.2,21.6,2,1,2,1,92.1,0
23,5.16,251.9,13.4,2,0,0,0,56.1,1
4,1.75,64.7,1.2,2,1,0,1,74.6,0
3,6.91,10.6,8.1,2,1,0,1,64.2,1
6,0.71,145.2,13.4,3,1,2,1,94.2,0
20,4.88,32.3,7.4,2,0,1,1,92.5,0
0,7.88,18.7,16.2,4,1,1,0,70.6,0
9,4.39,71.1,21.7,6,1,1,0,100.0,0
2,6.47,199.6,15.0,3,0,2,0,50.7,1
3,4.88,101.2,10.0,2,0,2,0,57.4,1
22,6.33,96.3,12.3,3,1,1,0,62.1,1
0,5.35,9.0,38.7,3,1,0,1,84.8,0
7,5.62,106.8,42.3,4,0,0,0,92.5,0
21,2.05,82.6,4.6,4,1,0,0,100.0,0
14,6.01,52.2,24.6,3,1,0,0,100.0,0
1,2.13,49.7,0.7,1,0,1,0,59.5,1
11,7.85,2.5,22.2,1,0,0,0,100.0,0
23,2.05,5.7,6.7,2,1,1,1,56.9,1
9,2.12,69.0,10.9,4,0,2,1,94.9,0
12,6.91,162.4,0.3,3,0,0,0,87.1,0
12,2.17,76.3,6.7,2,0,2,0,86.5,0
15,3.08,57.6,11.2,4,0,1,0,96.9,0
4,5.8,14.8,0.9,2,0,2,0,53.1,1
20,1.52,74.5,13.3,2,1,2,1,55.7,1
23,1.52,0.6,19.8,5,1,1,0,93.8,0
3,4.04,141.2,7.3,3,1,0,1,100.0,0
19,2.18,50.2,2.8,3,0,2,0,72.8,0
19,2.11,32.8,2.6,1,0,1,0,86.2,0
